1732628039.179,994,Google Chrome Helper (GPU),1.4
1732628039.179,41739,Code Helper,1.4
1732628039.179,41738,Code Helper (GPU),1.1
1732628039.179,16534,Google Chrome Helper (Renderer),1.0
1732628047.360,41734,Electron,21.9
1732628047.360,24692,Python,14.1
1732628047.360,801,CursorUIViewService,13.6
1732628047.360,24132,Code Helper (Renderer),7.4
1732628047.360,6121,com.apple.Virtualization.VirtualMachine,7.1
1732628047.360,17364,CharacterPalette,3.0
1732628047.360,41738,Code Helper (GPU),2.8
1732628047.360,17022,Google Chrome Helper (Renderer),2.3
1732628047.360,646,Microsoft Word,1.5
1732628047.360,693,ViewBridgeAuxiliary,1.5
1732669089.305,2986,DisplayLinkUserAgent,29.5
1732669089.305,25390,Python,22.0
1732669089.305,6121,com.apple.Virtualization.VirtualMachine,7.8
1732669089.305,994,Google Chrome Helper (GPU),7.1
1732669089.305,25369,Google Chrome Helper (Renderer),6.1
1732669089.305,637,Google Chrome,4.1
1732669089.305,672,iTerm2,2.7
1732669089.305,996,Google Chrome Helper,1.5
1732669089.305,646,Microsoft Word,1.2
1732669089.305,6113,Docker Desktop,0.4
1732669091.472,2986,DisplayLinkUserAgent,43.1
1732669091.472,994,Google Chrome Helper (GPU),23.5
1732669091.472,25390,Python,20.5
1732669091.472,6121,com.apple.Virtualization.VirtualMachine,12.7
1732669091.472,25369,Google Chrome Helper (Renderer),11.8
1732669091.472,637,Google Chrome,10.1
1732669091.472,622,rapportd,7.1
1732669091.472,25379,mdworker_shared,4.6
1732669091.472,673,sharingd,4.5
1732669091.472,996,Google Chrome Helper,2.3
1732669093.652,2986,DisplayLinkUserAgent,43.4
1732669093.652,25390,Python,21.7
1732669093.652,994,Google Chrome Helper (GPU),21.2
1732669093.652,25369,Google Chrome Helper (Renderer),18.8
1732669093.652,6121,com.apple.Virtualization.VirtualMachine,12.4
1732669093.652,672,iTerm2,2.8
1732669093.652,41773,Code Helper,1.5
1732669093.652,646,Microsoft Word,1.3
1732669093.652,637,Google Chrome,1.0
1732669093.652,41739,Code Helper,0.8
1732669097.841,25390,Python,22.8
1732669097.841,6121,com.apple.Virtualization.VirtualMachine,21.0
1732669097.841,672,iTerm2,11.0
1732669097.841,2986,DisplayLinkUserAgent,2.3
1732669097.841,41738,Code Helper (GPU),1.9
1732669097.841,994,Google Chrome Helper (GPU),1.6
1732669097.841,646,Microsoft Word,1.1
1732669097.841,637,Google Chrome,0.6
1732669097.841,996,Google Chrome Helper,0.6
1732669097.841,41816,Code Helper,0.6
1732669102.012,2986,DisplayLinkUserAgent,41.4
1732669102.012,25369,Google Chrome Helper (Renderer),38.7
1732669102.012,637,Google Chrome,34.4
1732669102.012,994,Google Chrome Helper (GPU),29.3
1732669102.012,25390,Python,20.7
1732669102.012,6121,com.apple.Virtualization.VirtualMachine,12.1
1732669102.012,684,AlDente,6.0
1732669102.012,996,Google Chrome Helper,4.9
1732669102.012,24132,Code Helper (Renderer),3.7
1732669102.012,25366,Python,2.5
1732669104.169,6121,com.apple.Virtualization.VirtualMachine,76.3
1732669104.169,25390,Python,20.1
1732669104.169,672,iTerm2,2.8
1732669104.169,41739,Code Helper,1.4
1732669104.169,41773,Code Helper,1.1
1732669104.169,6095,com.docker.backend,0.8
1732669104.169,41738,Code Helper (GPU),0.8
1732669104.169,646,Microsoft Word,0.6
1732669104.169,2986,DisplayLinkUserAgent,0.4
1732669104.169,3366,Google Chrome Helper (Renderer),0.4
1732669108.344,6121,com.apple.Virtualization.VirtualMachine,66.0
1732669108.344,2986,DisplayLinkUserAgent,25.8
1732669108.344,637,Google Chrome,21.3
1732669108.344,25390,Python,21.2
1732669108.344,994,Google Chrome Helper (GPU),10.9
1732669108.344,25369,Google Chrome Helper (Renderer),10.8
1732669108.344,603,WindowManager,4.9
1732669108.344,996,Google Chrome Helper,1.1
1732669108.344,672,iTerm2,1.0
1732669108.344,646,Microsoft Word,0.7
1732669110.502,6121,com.apple.Virtualization.VirtualMachine,29.4
1732669110.502,25390,Python,22.1
1732669110.502,637,Google Chrome,19.3
1732669110.502,2986,DisplayLinkUserAgent,10.8
1732669110.502,25369,Google Chrome Helper (Renderer),4.8
1732669110.502,996,Google Chrome Helper,3.5
1732669110.502,36903,Google Chrome Helper (Renderer),2.9
1732669110.502,25383,mdworker_shared,1.8
1732669110.502,994,Google Chrome Helper (GPU),1.7
1732669110.502,41773,Code Helper,1.3
1732669112.665,2986,DisplayLinkUserAgent,46.4
1732669112.665,25369,Google Chrome Helper (Renderer),21.7
1732669112.665,25390,Python,21.3
1732669112.665,637,Google Chrome,20.8
1732669112.665,994,Google Chrome Helper (GPU),17.8
1732669112.665,6121,com.apple.Virtualization.VirtualMachine,11.3
1732669112.665,672,iTerm2,2.4
1732669112.665,41773,Code Helper,1.1
1732669112.665,41739,Code Helper,0.9
1732669112.665,646,Microsoft Word,0.7
1732669114.837,637,Google Chrome,25.6
1732669114.837,25390,Python,22.7
1732669114.837,6121,com.apple.Virtualization.VirtualMachine,13.1
1732669114.837,25369,Google Chrome Helper (Renderer),10.3
1732669114.837,2986,DisplayLinkUserAgent,8.8
1732669114.837,994,Google Chrome Helper (GPU),1.3
1732669114.837,6095,com.docker.backend,1.3
1732669114.837,41773,Code Helper,1.3
1732669114.837,646,Microsoft Word,1.0
1732669114.837,41739,Code Helper,0.8
1732669117.002,6121,com.apple.Virtualization.VirtualMachine,26.3
1732669117.002,2986,DisplayLinkUserAgent,25.0
1732669117.002,25390,Python,22.4
1732669117.002,637,Google Chrome,14.3
1732669117.002,25369,Google Chrome Helper (Renderer),8.9
1732669117.002,994,Google Chrome Helper (GPU),7.8
1732669117.002,646,Microsoft Word,1.1
1732669117.002,41773,Code Helper,1.0
1732669117.002,996,Google Chrome Helper,0.9
1732669117.002,17364,CharacterPalette,0.9
1732669119.167,25390,Python,21.4
1732669119.167,6121,com.apple.Virtualization.VirtualMachine,6.6
1732669119.167,637,Google Chrome,5.6
1732669119.167,603,WindowManager,3.0
1732669119.167,672,iTerm2,2.4
1732669119.167,41773,Code Helper,1.7
1732669119.167,994,Google Chrome Helper (GPU),1.4
1732669119.167,41739,Code Helper,0.9
1732669119.167,646,Microsoft Word,0.7
1732669119.167,53122,Google Chrome Helper (Renderer),0.5
1732669121.344,2986,DisplayLinkUserAgent,27.3
1732669121.344,25390,Python,23.8
1732669121.344,637,Google Chrome,16.2
1732669121.344,994,Google Chrome Helper (GPU),13.7
1732669121.344,25369,Google Chrome Helper (Renderer),12.6
1732669121.344,6121,com.apple.Virtualization.VirtualMachine,8.7
1732669121.344,24132,Code Helper (Renderer),4.4
1732669121.344,43120,ControlCenter,3.0
1732669121.344,672,iTerm2,1.4
1732669121.344,646,Microsoft Word,1.2
1732669123.519,2986,DisplayLinkUserAgent,34.6
