1732628024.198,25.1,[38.4, 31.6, 25.3, 20.2, 12.0, 13.0, 10.9, 10.0],76.9,78.0,3969974272,3.3,23987270,15915967,579971.09375,263600.78125
1732628026.362,29.2,[37.4, 30.0, 23.0, 16.3, 30.0, 27.0, 22.0, 20.0],77.3,78.0,3905257472,3.3,23987453,15916047,579972.82421875,263601.50390625
1732628028.516,21.0,[38.4, 26.5, 23.0, 16.2, 29.3, 30.7, 23.2, 18.2],77.4,78.0,3882434560,3.3,23987508,15916148,579973.26953125,263602.56640625
1732628030.678,28.5,[50.5, 35.7, 28.0, 22.0, 24.0, 19.2, 16.2, 14.1],77.6,78.0,3851616256,3.3,23987533,15916244,579973.5234375,263603.80859375
1732628032.842,23.5,[30.0, 25.3, 18.0, 14.0, 8.1, 8.1, 8.0, 8.0],76.7,78.0,4003315712,3.3,23987578,15916305,579973.8046875,263604.4140625
1732628034.850,14.3,[34.3, 28.3, 22.2, 15.2, 9.0, 9.0, 6.1, 7.8],77.9,78.0,3803725824,3.3,23987613,15916577,579974.015625,263606.35546875
1732628037.012,24.7,[51.5, 38.4, 32.3, 23.0, 15.0, 14.0, 9.0, 7.0],77.9,78.0,3804889088,3.3,23987777,15916710,579975.0078125,263607.60546875
1732628039.179,27.5,[30.0, 26.5, 22.2, 17.2, 7.0, 8.0, 7.0, 6.0],77.4,78.0,3885252608,3.3,23987825,15916790,579975.875,263608.40234375
1732628041.189,15.4,[39.4, 34.3, 25.0, 20.0, 7.0, 5.0, 4.9, 4.0],76.6,78.0,4015931392,3.3,23987839,15916830,579975.97265625,263608.78125
1732628043.198,13.5,[19.0, 20.0, 11.9, 8.9, 7.1, 6.0, 7.0, 7.0],75.3,78.0,4247502848,3.3,23987873,15917005,579976.23828125,263610.21484375
1732628045.206,13.2,[38.4, 31.3, 24.0, 16.0, 17.0, 16.0, 12.9, 10.9],77.8,78.0,3812573184,3.3,23987969,15917297,579977.21875,263613.39453125
1732628047.360,22.4,[41.4, 35.4, 27.3, 22.0, 13.9, 12.0, 10.0, 9.1],78.2,78.0,3751165952,3.3,23988489,15917509,579981.80078125,263615.3203125
1732669085.119,12.7,[42.9, 33.3, 21.2, 19.0, 29.3, 19.4, 17.0, 15.2],77.9,83.7,3802578944,3.3,24181271,15989921,583700.3828125,264902.6171875
1732669087.131,19.8,[48.0, 40.0, 32.7, 27.0, 21.2, 19.8, 19.0, 18.8],78.7,83.7,3656810496,3.3,24181327,15989985,583701.09375,264903.234375
1732669089.305,31.5,[70.7, 66.7, 59.0, 54.0, 52.5, 54.0, 65.0, 52.5],77.3,83.2,3896311808,3.3,24181894,15990552,583729.875,264915.16796875
1732669091.472,27.3,[45.9, 41.8, 36.4, 36.4, 11.0, 10.0, 8.0, 8.0],78.6,83.2,3675783168,3.3,24182240,15990642,583735.796875,264916.25
1732669093.652,27.3,[51.5, 42.4, 31.3, 27.3, 10.0, 7.0, 7.0, 7.0],78.1,83.2,3770302464,3.3,24182277,15990821,583736.19921875,264917.84375
1732669095.664,18.9,[44.4, 37.4, 27.0, 24.0, 14.0, 14.0, 13.1, 13.0],77.1,83.2,3940450304,3.3,24182286,15990888,583736.34375,264918.4140625
1732669097.841,24.7,[47.0, 39.4, 30.3, 27.7, 6.0, 8.0, 6.0, 5.0],76.8,83.2,3978625024,3.3,24182308,15990936,583736.640625,264918.92578125
1732669099.848,17.6,[26.3, 22.0, 17.0, 10.2, 10.0, 8.0, 7.0, 8.9],76.0,83.2,4125032448,3.3,24182349,15991220,583737.21875,264921.26171875
1732669102.012,26.6,[70.7, 63.6, 55.6, 48.5, 9.9, 9.0, 7.0, 6.9],77.3,83.2,3895508992,3.3,24182791,15991298,583742.2890625,264921.97265625
1732669104.169,28.2,[29.6, 25.5, 19.0, 14.0, 4.0, 4.0, 3.0, 4.0],76.6,83.2,4014276608,3.3,24182808,15991365,583742.57421875,264922.6875
1732669106.178,14.0,[30.0, 22.2, 16.3, 12.1, 7.9, 4.0, 3.0, 5.0],76.5,83.2,4038819840,3.3,24182853,15991443,583743.17578125,264923.52734375
1732669108.344,24.0,[37.4, 29.7, 20.2, 12.0, 18.0, 12.0, 7.1, 8.0],77.4,83.2,3877994496,3.3,24182916,15991668,583744.74609375,264924.98046875
1732669110.502,26.3,[40.4, 37.0, 26.3, 19.0, 8.0, 5.0, 5.0, 5.0],76.8,83.2,3992207360,3.3,24182970,15991874,583745.43359375,264927.76953125
1732669112.665,22.2,[49.5, 43.0, 34.3, 27.3, 15.2, 13.9, 9.0, 8.9],78.0,83.2,3787915264,3.3,24182994,15991936,583745.85546875,264928.33203125
1732669114.837,21.9,[52.5, 46.5, 37.6, 31.6, 21.0, 13.0, 10.1, 9.0],76.6,83.2,4014931968,3.3,24183038,15992005,583746.5625,264929.0546875
1732669117.002,28.6,[35.0, 26.5, 20.2, 15.2, 11.0, 9.1, 8.1, 6.0],76.4,83.2,4048977920,3.3,24183052,15992210,583746.85546875,264930.37109375
1732669119.167,27.6,[41.4, 34.3, 30.0, 26.7, 11.9, 9.0, 8.1, 7.9],77.1,83.2,3930669056,3.3,24183105,15992498,583747.65234375,264934.37109375
1732669121.344,27.3,[46.9, 34.7, 28.0, 25.0, 35.0, 31.3, 25.0, 26.7],77.7,83.2,3826057216,3.3,24183239,15992580,583749.4453125,264935.13671875
1732669123.519,30.3,[43.9, 30.3, 25.3, 20.8, 25.3, 24.0, 15.0, 11.0],77.6,83.2,3852320768,3.3,24183279,15992654,583750.08984375,264935.96484375
1732669125.683,28.7,[27.3, 20.4, 15.0, 14.0, 10.1, 11.0, 7.1, 7.1],76.7,83.2,3999825920,3.3,24183301,15992711,583751.9375,264936.5234375
1732669127.695,17.4,[56.0, 51.5, 47.0, 42.6, 8.9, 8.0, 6.9, 7.9],76.2,83.2,4089200640,3.3,24183486,15992773,583759.17578125,264937.40234375
1732669129.865,41.0,[53.1, 57.1, 47.5, 39.4, 14.0, 13.0, 13.0, 11.1],76.0,83.2,4126867456,3.3,24183779,15992858,583771.13671875,264941.48046875
1732669131.873,18.8,[39.4, 31.3, 21.0, 17.0, 24.2, 21.0, 12.1, 9.0],77.8,83.2,3816685568,3.3,24183799,15993198,583771.4296875,264944.26171875
1732669133.877,18.1,[42.4, 35.7, 22.2, 17.0, 19.2, 8.1, 5.0, 4.0],77.9,83.2,3797155840,3.3,24183856,15993267,583772.37109375,264944.9453125
1732669135.888,15.7,[36.7, 32.3, 19.0, 16.2, 17.2, 13.9, 11.0, 10.1],76.9,83.2,3962404864,3.3,24183885,15993343,583772.8671875,264945.78125
1732669138.046,21.0,[44.4, 36.4, 26.0, 21.2, 25.0, 22.8, 20.0, 17.0],77.0,83.2,3958276096,3.3,24183960,15993430,583773.33203125,264946.55859375
1732669140.219,27.6,[37.4, 33.7, 24.0, 15.2, 9.9, 5.1, 5.0, 4.0],77.1,83.2,3940237312,3.3,24183996,15993528,583775.0546875,264947.8828125
1732669142.394,20.6,[42.4, 36.4, 27.0, 20.2, 11.0, 10.0, 5.1, 5.0],76.7,83.2,4007493632,3.3,24184037,15993745,583775.73828125,264949.7265625
1732669144.573,20.2,[28.3, 29.3, 18.2, 15.0, 7.9, 7.0, 5.1, 5.0],76.5,83.2,4032135168,3.3,24184068,15993829,583776.36328125,264951.890625
1732669146.586,16.0,[25.0, 24.2, 15.0, 11.0, 5.0, 5.0, 4.0, 3.0],76.3,83.2,4069883904,3.3,24184082,15994005,583776.5078125,264953.3984375
